Species,Year,Estimate,Location,Corrected,Citation
Harbor seal,1970,1386,Total WA Inland Waters,Uncorrected,Jeffries et al. 2003
Harbor seal,1971,1386,Total WA Inland Waters,Uncorrected,Jeffries et al. 2003
Harbor seal,1972,1386,Total WA Inland Waters,Uncorrected,Jeffries et al. 2003
Harbor seal,1991,12883,Total WA Inland Waters,Corrected,Huber et al. 2001
Harbor seal,1992,13516,Total WA Inland Waters,Corrected,Huber et al. 2001
Harbor seal,1993,16253,Total WA Inland Waters,Corrected,Huber et al. 2001
Harbor seal,1999,13692,Total WA Inland Waters,Corrected,Caretta et al. 2019
Harbor seal,2013,10857,Total WA Inland Waters,LT Corrected,Jefferson et al. 2021
Harbor seal,2014,10857,Total WA Inland Waters,LT Corrected,Jefferson et al. 2021
Harbor seal,2015,10857,Total WA Inland Waters,LT Corrected,Jefferson et al. 2021
Harbor seal,2016,10857,Total WA Inland Waters,LT Corrected,Jefferson et al. 2021
Harbor porpoise,1990,3298,Washington Inland Waters,Corrected,Calamokidis et al. 1993
Harbor porpoise,1991,3298,Washington Inland Waters,Corrected,Calamokidis et al. 1993
Harbor porpoise,1996,3509,Salish Sea,Unknown,"Calambokidis et al. 1997, Elliser and Hall 2021, NOAA 2017 (2016 stock assessment for WA Inland harbor porpoise)"
Harbor porpoise,2013,11233,Salish Sea,Unknown,"Elliser and Hall 2021, NOAA 2017 (2016 stock assessment for WA Inland harbor porpoise)"
Harbor porpoise,2014,11233,Salish Sea,Unknown,"Elliser and Hall 2021, NOAA 2017 (2016 stock assessment for WA Inland harbor porpoise)"
Southern resident killer whale,1967,96,BC/WA,Modeled data,"Center for whale research, 2020"
Southern resident killer whale,1973,66,BC/WA,Census data,"Center for whale research, 2020"
Southern resident killer whale,1975,72,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1976,71,BC/WA,Census data,"Balcomb and Goebel 1976; Marine mammal commission, 2022"
Southern resident killer whale,1977,80,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1978,80,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1979,82,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1980,84,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1981,82,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1982,79,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1983,76,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1984,74,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1985,77,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1986,81,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1987,84,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1988,85,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1989,85,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1990,88,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1991,92,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1992,91,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1993,97,BC/WA,Census data,Ford et al. 1994
Southern resident killer whale,1994,96,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1995,98,BC/WA,Census data,Center for Whale Research
Southern resident killer whale,1996,97,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1997,92,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1998,89,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,1999,85,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2000,82,BC/WA,Census data,"Center for Whale Research; Marine mammal commission, 2022"
Southern resident killer whale,2001,78,BC/WA,Census data,"Center for whale research, Marine mammal commission, 2022"
Southern resident killer whale,2002,79,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2003,82,BC/WA,Census data,"Center for whale research, 2020"
Southern resident killer whale,2004,83,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2005,88,BC/WA,Census data,"Center for whale research, 2020, Marine mammal commission, 2022"
Southern resident killer whale,2006,89,BC/WA,Census data,Center for Whale Research
Southern resident killer whale,2007,86,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2008,85,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2009,85,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2010,86,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2011,87,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2012,84,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2013,82,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2014,78,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2015,81,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2016,83,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2017,77,BC/WA,Census data,Murray et al. 2019
Southern resident killer whale,2018,75,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2019,73,BC/WA,Census data,"Marine mammal commission, 2022"
Southern resident killer whale,2020,74,BC/WA,Census data,"Center for whale research, 2020"
Southern resident killer whale,2022,74,BC/WA,Census data,"Marine Mammal Commission, 2022"